Probeset_ID,Gene Symbol,Mo BM Ly6C- II-,Sample_,Sample_,Sample_
10338515,---,-7.14,-15.15,-1.44,-2.57
10338516,---,-10.86,66.88,-78.61,-9.52
10338517,---,85.70,94.79,82.82,71.01
10338518,---,42.03,80.29,-7.27,28.23
10338519,---,55.30,42.40,51.67,68.15
10338520,---,6.77,47.65,-28.97,-5.47
10338521,---,79.17,87.43,62.70,81.02
10338522,---,3.63,6.93,-11.70,10.72
10338523,---,-56.59,-83.33,-23.90,-55.63
10338524,---,66.65,45.41,78.26,71.71
10338525,---,-82.76,-83.29,-93.75,-61.84
10338526,---,-10.71,-38.03,19.16,-11.28
10338527,---,-14.23,3.86,-58.50,20.88
10338528,---,51.64,37.71,73.41,39.51
10338529,---,-96.23,-94.65,-97.06,-96.77
10338530,---,-32.95,-6.24,-26.01,-56.77
10338531,---,-78.59,-65.78,-85.98,-81.20
10338532,---,80.80,79.72,78.64,84.16
10338533,---,49.82,67.10,22.38,55.22
10338534,---,-31.58,-15.10,-65.18,-17.46
10338535,---,-75.39,-67.62,-73.21,-82.48
10338536,---,89.08,85.61,79.79,95.94
10338537,---,-69.46,-60.61,-55.17,-87.31
10338538,---,-42.00,-28.08,-52.73,-45.15
10338539,---,-82.47,-98.03,-27.93,-90.47
10338540,---,13.12,5.36,15.32,19.97
10338541,---,6.09,-1.60,7.96,15.07
10338542,---,-50.31,-46.18,-82.73,-10.36
10338543,---,71.76,82.68,92.19,-18.47
10338544,---,-31.75,-55.71,-36.27,-11.03
10338545,---,-3.21,41.18,-48.68,-4.58
10338546,---,-39.95,-76.33,-71.67,49.36
10338547,---,49.71,-9.58,59.30,76.37
10338548,---,-71.12,-89.06,-34.62,-87.51
10338549,---,-77.79,-73.60,-89.83,-68.06
10338550,---,27.60,21.88,56.49,-3.51
10338551,---,45.73,25.76,73.18,25.40
10338552,---,77.73,84.54,58.35,81.66
10338553,---,5.63,-55.59,74.49,-13.25
10338554,---,15.86,-53.33,71.65,23.45
10338555,---,59.49,-13.56,76.59,80.21
10338556,---,-93.56,-92.78,-94.79,-92.29
10338557,---,54.67,27.23,76.10,53.29
10338558,---,-95.61,-93.18,-96.05,-96.49
10338559,---,82.33,77.45,93.54,66.00
10338560,---,-72.19,-22.85,-91.48,-87.20
10338561,---,54.80,65.11,30.50,66.85
10338562,---,-31.53,22.53,-84.86,-43.59
10338563,---,51.09,-1.12,59.66,73.55
10338564,---,83.69,79.60,84.73,86.74
10338565,---,-10.65,-2.94,-31.49,5.80
10338566,---,33.95,73.87,-34.03,44.58
10338567,---,88.95,89.33,87.76,89.45
10338568,---,-31.08,-1.61,-31.37,-59.10
10338569,---,66.02,91.71,40.92,28.08
10338570,---,-47.51,-46.92,-44.26,-51.69
10338571,---,1.38,-4.43,11.67,-0.73
10338572,---,-49.22,-70.37,-42.77,-34.86
10338573,---,44.47,62.16,66.06,-9.07
10338574,---,68.43,92.51,50.51,37.50
10338575,---,-57.91,-51.32,-89.62,-19.91
