Probeset_ID,Gene Symbol,Mo Bl Ly6C+ II-,Sample_,Sample_,Sample_
10338543,---,-67.10,-77.40,-36.98,-81.63
10338544,---,70.63,75.41,-2.35,88.96
10338545,---,98.02,99.05,96.66,97.74
10338546,---,87.05,69.04,96.47,78.46
10338547,---,-7.13,-5.77,24.09,-30.68
10338548,---,84.01,54.43,87.64,94.28
10338549,---,82.70,37.16,95.21,86.00
10338550,---,28.93,-36.93,59.76,54.80
10338551,---,-10.41,-45.71,8.89,11.52
10338552,---,-2.35,21.47,4.67,-20.85
10338553,---,51.50,52.33,56.97,44.38
10338554,---,91.84,94.75,85.06,92.99
10338555,---,-26.40,18.64,-79.56,-8.40
10338556,---,-73.30,-73.63,-85.52,-46.02
10338557,---,68.29,86.17,61.92,47.15
10338558,---,-10.85,-1.49,2.45,-31.13
10338559,---,94.22,84.34,97.31,95.80
10338560,---,84.76,72.33,84.34,91.94
10338561,---,79.10,70.18,84.38,80.19
10338562,---,8.67,23.38,-0.10,-0.23
10338563,---,-41.06,-80.41,18.07,-57.28
10338564,---,-22.68,-33.41,5.98,-47.54
10338565,---,20.12,-5.57,19.17,43.13
10338566,---,51.16,58.88,37.01,56.33
10338567,---,43.87,46.09,44.93,40.43
10338568,---,34.15,10.35,42.51,46.31
10338569,---,85.19,92.40,93.64,49.63
10338570,---,-15.17,-64.56,49.36,-19.10
10338571,---,45.99,50.50,21.07,60.03
10338572,---,-11.27,-2.88,-28.23,-3.37
10338573,---,65.50,9.59,88.16,74.84
10338574,---,59.60,75.69,53.06,43.42
10338575,---,45.88,25.73,49.57,58.13
10338576,---,99.12,98.92,99.20,99.00
10338577,---,49.08,66.28,-9.05,70.06
10338578,---,11.84,9.18,19.02,8.33
10338579,---,-6.37,-3.96,-1.94,-13.10
10338580,---,32.38,46.38,18.81,31.92
10338581,---,43.65,26.15,57.99,40.01
10338582,---,-23.79,-28.69,-15.21,-27.88
10338583,---,72.12,75.27,81.18,54.31
10338584,---,63.78,78.88,72.57,27.07
10338585,---,97.77,98.18,97.03,98.03
10338586,---,95.20,93.39,94.65,97.03
10338587,---,80.06,71.44,92.76,69.50
